epoch, val_acc, train_acc, val_mae, val_rmse, train_rmse, lr
    1,   56.9 ,     46.4 ,   13.29,    30.76,      38.86, 1.80e-05
    2,   58.0 ,     60.4 ,   12.97,    28.51,      31.93, 1.62e-05
    3,   67.8 ,     64.76,    9.36,    22.73,      27.35, 1.46e-05
    4,   61.45,     66.14,   10.5 ,    24.02,      25.32, 1.31e-05
    5,   71.4 ,     69.69,    8.07,    21.43,      22.4 , 1.18e-05
    6,   72.9 ,     72.55,    7.53,    19.92,      19.45, 1.06e-05
    7,   74.1 ,     74.29,    7.46,    20.23,      18.02, 9.57e-06
    8,   72.1 ,     75.6 ,    7.85,    21.7 ,      16.4 , 8.61e-06
    9,   75.35,     77.26,    6.79,    18.65,      15.34, 7.75e-06
   10,   73.8 ,     77.25,    7.25,    18.24,      14.8 , 6.97e-06
   11,   75.9 ,     78.14,    6.37,    17.0 ,      14.05, 6.28e-06
   12,   76.1 ,     79.95,    6.33,    16.86,      13.75, 5.65e-06
   13,   76.3 ,     80.29,    6.27,    16.84,      12.71, 5.08e-06
   14,   75.85,     81.38,    6.27,    16.89,      12.6 , 4.58e-06
   15,   76.15,     81.89,    6.46,    17.83,      12.42, 4.12e-06
   16,   76.9 ,     82.18,    6.24,    16.67,      11.63, 3.71e-06
   17,   77.2 ,     83.08,    5.92,    16.47,      11.61, 3.34e-06
   18,   77.55,     83.79,    5.97,    16.88,      10.95, 3.00e-06
   19,   76.3 ,     83.72,    6.4 ,    17.21,      10.32, 2.70e-06
   20,   78.3 ,     84.28,    5.78,    16.18,      11.09, 2.43e-06
   21,   79.3 ,     84.8 ,    5.6 ,    16.18,      10.36, 2.19e-06
   22,   79.05,     84.94,    5.58,    16.15,      10.87, 1.97e-06
   23,   79.2 ,     84.92,    5.68,    15.98,      10.07, 1.77e-06
   24,   79.15,     85.92,    5.64,    16.04,       9.96, 1.60e-06
   25,   77.85,     85.74,    5.88,    16.46,      10.02, 1.44e-06
   26,   78.7 ,     85.74,    5.95,    16.53,      10.26, 1.29e-06
   27,   79.0 ,     85.92,    5.52,    15.94,       9.77, 1.16e-06
   28,   79.4 ,     85.81,    5.58,    15.95,       9.9 , 1.05e-06
   29,   79.2 ,     86.26,    5.62,    16.23,       9.71, 9.42e-07
   30,   79.85,     86.4 ,    5.56,    16.08,       9.57, 8.48e-07
   31,   78.9 ,     84.89,    5.57,    16.01,       9.63, 4.50e-06
   32,   79.3 ,     85.48,    5.62,    15.49,      10.29, 4.05e-06
   33,   79.05,     86.31,    5.63,    15.53,       9.98, 3.65e-06
   34,   79.6 ,     86.91,    5.43,    15.03,       8.76, 3.28e-06
   35,   79.6 ,     86.86,    5.48,    15.39,       9.15, 2.95e-06
   36,   79.85,     87.24,    5.38,    15.32,       8.8 , 2.66e-06
   37,   80.35,     87.78,    5.48,    15.38,       8.14, 2.39e-06
   38,   79.65,     88.19,    5.61,    15.87,       8.02, 2.15e-06
   39,   79.9 ,     88.21,    5.33,    15.25,       8.29, 1.94e-06
   40,   80.15,     88.56,    5.4 ,    15.18,       8.73, 1.74e-06
   41,   81.15,     88.22,    5.28,    15.15,       8.28, 4.50e-06
   42,   80.55,     87.19,    5.3 ,    14.74,       8.71, 4.05e-06
   43,   80.95,     87.98,    5.24,    14.91,       7.94, 3.65e-06
   44,   79.2 ,     87.78,    5.61,    15.27,       8.36, 3.28e-06
   45,   81.15,     88.25,    5.35,    15.24,       7.79, 2.95e-06
   46,   80.2 ,     88.72,    5.39,    15.4 ,       7.46, 2.66e-06
   47,   81.4 ,     89.75,    5.18,    14.79,       6.71, 2.39e-06
   48,   81.0 ,     89.3 ,    5.12,    14.77,       6.96, 2.15e-06
   49,   80.45,     89.99,    5.3 ,    15.38,       7.27, 1.94e-06
   50,   81.35,     90.25,    5.07,    14.68,       7.54, 1.74e-06
   51,   81.55,     89.29,    5.12,    14.28,       7.27, 4.50e-06
   52,   79.1 ,     89.24,    5.44,    15.04,       6.62, 4.05e-06
   53,   81.1 ,     90.15,    5.28,    15.22,       7.57, 3.65e-06
   54,   80.7 ,     90.52,    5.34,    15.44,       6.85, 3.28e-06
   55,   82.05,     90.28,    5.22,    15.3 ,       6.57, 2.95e-06
   56,   81.5 ,     91.56,    5.06,    14.73,       6.58, 2.66e-06
   57,   80.8 ,     90.99,    5.2 ,    15.08,       5.77, 2.39e-06
   58,   82.4 ,     91.07,    4.92,    14.8 ,       7.19, 2.15e-06
   59,   81.15,     91.94,    5.15,    15.12,       5.71, 1.94e-06
   60,   80.9 ,     91.71,    5.0 ,    14.52,       5.65, 1.74e-06
   61,   82.25,     91.55,    4.89,    14.76,       5.96, 1.57e-06
   62,   81.2 ,     92.19,    5.0 ,    14.96,       6.05, 1.41e-06
   63,   81.95,     92.42,    4.87,    14.73,       5.62, 1.27e-06
   64,   81.95,     91.82,    4.96,    14.78,       6.34, 1.14e-06
   65,   81.95,     92.04,    4.94,    14.86,       6.06, 1.03e-06
   66,   81.75,     92.8 ,    4.92,    14.65,       5.67, 9.27e-07
   67,   81.8 ,     92.29,    4.99,    14.9 ,       6.18, 8.34e-07
   68,   82.0 ,     92.48,    4.88,    14.6 ,       5.57, 7.50e-07
   69,   81.75,     92.75,    4.92,    14.69,       6.02, 6.75e-07
   70,   81.7 ,     93.08,    4.94,    14.75,       5.62, 6.08e-07
   71,   82.7 ,     91.42,    4.85,    14.61,       6.5 , 4.50e-06
   72,   79.65,     90.72,    5.6 ,    15.41,       6.44, 4.05e-06
   73,   82.1 ,     91.52,    5.11,    14.69,       6.74, 3.65e-06
   74,   83.05,     91.98,    4.88,    14.72,       5.84, 3.28e-06
   75,   82.3 ,     92.34,    4.98,    14.76,       5.72, 2.95e-06
   76,   82.4 ,     92.21,    4.87,    14.34,       5.7 , 2.66e-06
   77,   82.95,     92.55,    4.84,    14.61,       6.48, 2.39e-06
   78,   82.4 ,     92.52,    4.84,    14.53,       5.49, 2.15e-06
   79,   82.75,     93.11,    4.73,    14.39,       5.51, 1.94e-06
   80,   83.3 ,     93.1 ,    4.72,    14.35,       5.25, 1.74e-06
   81,   82.3 ,     91.85,    5.06,    14.8 ,       5.49, 4.50e-06
   82,   82.3 ,     91.64,    5.05,    14.37,       6.12, 4.05e-06
   83,   82.0 ,     92.59,    5.1 ,    15.17,       6.06, 3.65e-06
   84,   81.65,     93.2 ,    4.84,    14.55,       5.19, 3.28e-06
   85,   82.5 ,     92.9 ,    4.8 ,    14.47,       5.71, 2.95e-06
   86,   82.55,     93.36,    4.77,    14.45,       5.33, 2.66e-06
   87,   83.35,     93.32,    4.61,    14.02,       5.79, 2.39e-06
   88,   82.4 ,     93.51,    4.73,    14.02,       5.1 , 2.15e-06
   89,   82.25,     93.79,    4.76,    14.39,       4.98, 1.94e-06
   90,   81.95,     93.54,    4.77,    13.95,       4.97, 1.74e-06
   91,   82.35,     93.69,    4.86,    14.43,       4.76, 1.57e-06
   92,   82.6 ,     93.49,    4.77,    14.18,       5.45, 1.41e-06
